医院名称,等级,特色,电话,地址,简介,科室列表
新泰市人民医院,无,无,"0538-7260195(门诊部),0538-7260098(办公室)",山东省新泰市新甫路1329号,,"1.心血管内科
2.神经内科
3.骨外科
4.外科
5.儿外科
6.烧伤整形科
7.心理咨询科
8.麻醉科
9.中医科
10.重症医学科
11.耳鼻咽喉头颈外科
12.病理科
13.肿瘤科
"
新泰市中医院,三级甲等,无,"0538-7252800(总机),0538-7777120(急诊)",山东省新泰市青云路860号,,"1.皮肤科
2.中医儿科
3.中医肿瘤科
4.产科
5.骨科
6.神经内科
7.胸外科
8.急诊科
9.放射科
10.泌尿外科
"
宁阳县第二人民医院,无,无,0538-5811033,山东省泰安市宁阳县磁窑镇火车站东,,"1.儿科
2.耳鼻喉
3.麻醉科
"
山东省东平县中医院,无,无,0538-2886000,山东省泰安东平佛山街20号,,"1.耳鼻喉
2.口腔科
"
泰安市口腔医院,无,无,0538-8251617(医务);0538-8334514(办公室),泰安市泰山区灵山大街南坛路33号,,"1.口腔综合科
"
聊城市人民医院,三级甲等,无,"0635-8276133(导医台),0635-8276110(院办),0635-8513679(脑科医院)",山东省聊城市东昌西路67号,,"1.神经内科
2.心脏内科
3.内分泌科
4.消化内科
5.呼吸内科
6.感染科
7.肾内科
8.风湿免疫科
9.血液内科
10.内科
11.急诊科
12.肝病科
13.心血管内科
14.普外科
15.骨科
16.神经外科
17.泌尿外科
18.肛肠外科
19.胸外科
20.心脏外科
21.血管外科
22.乳腺、甲状腺外科
23.肝胆外科
24.手足外科
25.胃肠外科
26.儿科
27.妇科
28.产科
29.生殖医学科不孕不育门诊
30.儿童保健科
31.儿外科
32.妇产科
33.中医妇科
34.眼科
35.口腔科
36.耳鼻喉科
37.中医科
38.皮肤科
39.疼痛科
40.烧伤整形科
41.放疗科
42.精神科
43.病理科
44.针灸科
45.检验科
46.生殖遗传科
47.放射科
48.保健科
49.职业病与中毒科
50.麻醉科
51.康复科
52.介入科
53.中西医结合内科
54.肿瘤内科
55.核医学科
56.磁共振室
57.超声科
58.激光治疗中心
59.重症监护室
60.查体中心
61.营养科
62.男科
63.药学部
64.重症医学科
65.干部保健科
"
聊城市中医院,三级甲等,无,"0635-8343972(办公室),0635-8340575(总务科)",聊城市文化路1号,,"1.肛肠科
2.骨科
3.呼吸内科
4.消化内科
5.妇产科
6.针灸科
7.中医外科
8.神经内科
9.泌尿内科
10.儿科
11.心内科
12.内分泌科
13.推拿科
14.肿瘤科
15.内科
16.耳鼻喉科
17.骨创伤科
18.皮肤科
19.眼科
20.急症科
21.小儿骨科
22.不孕不育门诊
23.疼痛科
24.碎石中心
25.手外科
26.口腔科
27.周围血管外科
28.介入科
29.预防保健科
30.心理科
31.麻醉科
32.超声科
33.脊柱外科
34.泌尿外科
"
聊城市第四人民医院,三级甲等,无,0635-8321088(办公室),聊城市花园北路47号,聊城市第四人民医院始建于1956年，经过50年的发展已成为科室齐全、设备先进的以精神科为主的现代化综合医院聊城市第四人民医院暨精神卫生中心的发展，离不开各级领导和社会各界的支持与关怀，饱含着历届领导和在此工作过的所有职工的心血和结晶。50年的风雨岁月，50年的光辉历程，医院几经换址更名。经过几代人的团结务实，艰苦创业，坚持以病人为中心，以质量为核心的办院宗旨；坚持“诚信服务，科持兴院”的发展战略；坚持走“大专科、小综合”的特色医院之路。现已发展成为占地34226平方米，建筑面积22462平方米，设有精神科、神经科、内科、外科、妇产科等29个临床、医技科室，10个病区，现有床位386张，年收治住院病人4000多人次；职工400多人，医疗专家60多人，拥有脑立体定向治疗仪、日本岛津螺旋CT、醒脑治疗仪、500毫安X光机、彩色经颅多普勒、彩色脑电地形图仪、生化分析仪、血液流变检测仪、微波治疗系统等。,"1.精神科
2.心理咨询科
3.神经内科
4.口腔科
5.中医科
6.内科
7.外科
8.皮肤科
9.妇产科
"
聊城市第三人民医院,无,无,无,无,,"1.神经内科
2.心内科
3.内科
4.急诊科
5.骨科
6.泌尿外科
7.神经外科
8.普外科
9.妇产科
10.儿科
11.耳鼻喉科
12.中医内妇科
13.康复科
14.口腔科
15.眼科
"
山东省阳谷县人民医院,无,无,0635-5106108(病人服务中心),聊城市阳谷县黄山路（中心街）北首,,"1.消化呼吸科
2.心血管内科
3.神经内科
4.手足血管外科
5.外一科
6.儿科
7.妇产科
8.精神科
9.口腔科
10.肿瘤科
11.眼科
12.老年医学科
"
聊城市中心医院,无,无,0635-7072222,聊城市高新区长江路56号,,"1.心血管内科
2.内科
3.妇产科
4.儿科
5.重症医学科
"
聊城市肿瘤医院,无,无,0635-6971234 8321125 健康咨询,聊城市建设东路45号,,"1.呼吸科
2.胸外、两腺科
3.儿科
4.中医科
5.肿瘤内科
"
东阿县人民医院,无,无,0635-6179009(院办),山东省聊城市东阿县曙光街275号,,"1.神经内科
2.泌尿外科
"
冠县中心医院,无,无,0635-7199199,冠县建设路南首,,"1.口腔科
2.中医科
3.重症医学科
"
莘县妇幼保健院,无,无,无,聊城市莘县政府街69,,"1.妇科
"
牧琳爱中美友好医院,无,无,"0635-8899120(服务电话),8215120(急救)",山东省聊城市东昌府区花园南路皋东街2号,,"1.消化内科
"
烟台毓璜顶医院,三级甲等,无,0535-6691999(总机),芝罘区毓东路20号,,"1.心血管内科
2.内分泌科
3.变态反应科
4.神经内科
5.消化内科
6.风湿免疫科
7.呼吸内科
8.肾内科
9.血液内科
10.感染性疾病科
11.血液净化中心
12.高压氧科
13.急诊中心
14.肾内科
15.老年病科
16.全科医学科
17.泌尿外科
18.普通外科
19.肝胆胰脾外科
20.神经外科
21.心脏外科
22.乳腺外科
23.胸外科
24.关节骨科
25.手足外科
26.脊柱外科
27.血管外科
28.创伤骨科
29.肛肠科
30.胃肠外科
31.妇科
32.产科
33.儿内科
34.普外儿外科
35.儿童保健科
36.保健科
37.检验科
38.眼科
39.生殖医学中心
40.耳鼻咽喉科
41.皮肤科
42.中西医结合科
43.口腔科
44.肿瘤内科
45.肿瘤外科
46.介入放射科
47.心理咨询科
48.放疗科
49.推拿室
50.超声科
51.疼痛科
52.麻醉科
53.针灸室
54.烧伤整形美容科
55.ICU
56.影像科
57.康复医学科
58.体检中心
59.核医学科
60.营养科
61.病理科
62.介入治疗科
63.肿瘤放疗科
"
烟台市口腔医院,三级甲等,无,0535-6228080(客服),烟台市芝罘区北大街142号,"烟台市口腔医院始建于1952年，经过半个世纪的风雨沧桑，在一代又一代烟台口腔医务工作者的不懈努力和艰苦奋斗下，烟台市口腔医院发生了巨大的变化，现拥有一座七层主楼，建筑面积5000平方米；固定资产2300万元,设有十大临床专业科室，有各类口腔综合治疗椅位100余台，年门诊量15万人次。同时，设有开发区分院和烟大门诊部。　　烟台市口腔医院现已发展成为山东省规模最大、设备最精、技术领先的口腔专科医院之一，是烟台市唯一一所集医疗、教学、科研、社会防治于一体的地市级口腔专科医院，是滨州医学院附属烟台口腔医院，也是山东大学口腔医学院、大连医科大学口腔医学教学医院。多年来，医院还承担着青岛卫校、枣庄卫校、烟台护校、芝罘卫校等医学专科学校的口腔基础教学及临床带教任务，培养出一批又一批口腔专业人才，为烟台乃至整个胶东地区的口腔卫生事业做出了贡献。　　在柳忠豪院长和孙雅宾书记的领导下，烟台市口腔医院坚持以“三个代表”和“科学发展观”重要思想为指导，在贯彻执行党和国家的各项方针、政策、法律法规，不断探索创新道路，努力在开拓思路上下功夫，做文章，工作中实现了“三个创新”。创新服务模式：以满足群众和社会的医疗卫生需求为目标，建立了多层次立体化口腔医疗服务体系,设立了惠民门诊、普通门诊、特需门诊，满足了不同社会层次的需求。创新技术优势：时刻跟踪国内、国外最新技术动态,引进新技术、开展新项目，显微根管治疗技术等高新技术的成功开展为我院在山东省确立了技术领先的地位，“笑气镇静仪”结合无痛局部麻醉技术使口腔无痛治疗得以实现，又开省内“口腔舒适治疗”的先河；与滨州医学院强强联合，提高医院临床技术水平和临床带教能力，整体医疗水平有大的突破。创新发展理念：建立了由上而下的教育机制，加强员工主人翁意识教育，强化团队意识，努力构建有学习力、创新力、凝聚力、竞争力的高绩效团队。大力推行“一站式”服务和终结处理制度，把“一次性告知制、首问负责制”作为基本理念落实到具体工作中，进一步体现人性化温馨服务。改善服务态度，不断完善服务规范、电话回访制，实现医疗纠纷“零投诉”、医德医风“零缺陷”、医患关系“零距离”。","1.口腔颌面外科
2.牙体牙髓科
3.儿童口腔科
4.正畸科
5.口腔修复科
6.牙周科
7.牙种植中心
8.口腔粘膜科
9.特诊科
10.种植科
11.老年口腔科
12.放射科
13.检验科
"
莱州市人民医院,无,无,0535-2276666(总机),山东省莱州市文化东路288号,,"1.内分泌科
2.心内科
3.神经内科
4.消化内科
5.内科
6.呼吸内科
7.风湿免疫科
8.血液内科
9.肾脏内科
10.胸心血管外科
11.普外科
12.泌尿外科
13.神经外科
14.整形美容科
15.骨外科
16.甲乳外科
17.妇科
18.产科
19.小儿内科
20.小儿外科
21.眼科
22.不孕不育治疗中心
23.皮肤性病科
24.耳鼻喉科
25.中医科
26.肿瘤科
27.口腔科
28.准分子激光门诊
29.感染性疾病科
30.疼痛科
"
滨州医学院烟台附属医院,三级甲等,无,0535-2123456(咨询),烟台市牟平区金埠大街717号,滨州医学院烟台附属医院，是山东省政府30多年来唯一批准新建、烟威地区首家省属大型三级综合医院，是大学直属附属医院，也是省政府着眼提升烟台东部新区医疗服务功能实施的一项健康惠民工程。　　地理环境优越。医院位于山东半岛蓝色经济区美丽的海岸线——烟台市东部高技术海洋经济新区，坐落于烟台与威海两市之间，风景秀丽，气候宜人。周边交通干线四通八达，北邻青荣城际高铁、荣乌高速（G18）出口，距烟台莱山国际机场、烟台火车站、烟台港车程约30分钟，为高端医院大范围服务提供了便利。　　规划建设一流。医院新院一期占地256亩，建筑面积21万平方米，规划床位2200张；二期规划建筑10万平方米；三期预留用地250亩。院区内设有直升机停机坪，便于烟威地区海上救援。　　医教实力雄厚。目前已引进国内著名神经外科专家、北京神经外科学院一系（天坛医院）系务委员、博士生导师杨军教授，国内著名神经外科专家、博士生导师张庆林教授，脊髓损伤治疗和神经功能重建领域国际知名专家、博士生导师张少成教授，生物医学工程专家、博士生导师张传森教授，口腔颌面外科专家杨志诚教授，心血管介入专家张明哲教授，心血管外科专家韩珂教授以及神经内科、内分泌科、骨科、普外科、妇产科、儿科、眼科、肿瘤科、康复医学科、ICU等20余名国内一流专家，构建起由200余名教授、博士组成的主力医疗团队，形成了一批高层次专业学科。在承担本科、硕士教育的基础上，与山东大学合作培养高级医学人才。　　技术设备领先。近年来，医院以神经外科、眼科、心血管内科、超声医学科、骨科、肿瘤科、神经内科等学科为龙头，相继开展了颅底垂体瘤、岩斜脑膜瘤等颅底病变手术，巨大颅内动脉瘤夹闭术等显微神经外科手术，准分子激光治疗近视、远视、散光眼，心脏介入，超声介入，脊髓损伤治疗和神经功能重建，恶性肿瘤综合治疗，现代神经康复术等新技术，有多项达到国内先进水平。新院引进德国西门子3.0T磁共振、256层螺旋CT、瑞典医科达直线加速器、数字化血管造影机、平板数字胃肠机、数字化X光机、移动C型臂X光机、丹麦IVF工作站、西门子Aptio Automation自动化检测流水线等国内外先进医疗设备860余台（套）。　　医院将按照高起点、高标准、高质量、高水平的标准，建设国内一流现代化的大型综合医院，打造胶东半岛医疗、教学、科研和健康服务中心。,"1.心血管内科
2.消化科
3.内分泌科
4.肾病内科
5.神经内科
6.呼吸科
7.血液内科
8.感染性疾病科
9.急诊科
10.普外科
11.心胸外科
12.骨科
13.肛肠烧伤整形外科
14.创伤骨科
15.泌尿外科
16.脊柱外科
17.关节手足骨科
18.神经外科
19.胃肠外科
20.妇科
21.儿童保健科
22.儿科
23.产科
24.生殖医学科
25.超声医学科
26.耳鼻咽喉科
27.中医科
28.肿瘤科
29.临床营养科
30.眼科
31.康复医学科
32.重症医学科
33.麻醉科
34.病理科
35.精神科
36.口腔科
37.皮肤科
38.医学影像科
39.康复疼痛科
"
蓬莱市人民医院,无,无,0535-5631067(门诊部),蓬莱市县后路89号,,"1.内科
2.高压氧科
3.急诊科
4.外科
5.骨病专科
6.儿科
7.妇科
8.产科
9.耳鼻喉科
10.影像一科
11.影像二科
12.康复理疗科
13.口腔科
14.中医科
15.化疗透析科
16.眼科
17.传染科
18.麻醉科
19.药剂科
20.检验科
21.特检科
22.病理科
"
栖霞市人民医院,无,无,0535-5211621(办公室),栖霞市民生路259院,,"1.神经内科
2.感染性疾病科
3.心血管内科
4.泌尿消化内科
5.呼吸内科
6.神经外科
7.普外科
8.泌尿外科
9.骨外科
10.显微外科
11.儿科
12.妇产科
13.耳鼻喉科
14.眼科
15.中医科
16.口腔科
17.理疗科
18.保健科
19.肿瘤科
"
蓬莱市中医院,三级甲等,无,"0535-5643970(办公室),0535-5614999(急救)",山东省蓬莱市钟楼东路63号,"蓬莱市中医院始建于1993年，是一所集医疗、教学、科研、康复、急诊于一体的综合性三级甲等中医院。是山东中医药大学、滨州医学院、山东省中医药高等专科学校、莱阳卫校、烟台护校的教学医院。是蓬莱市医疗保险、新农村合作医疗、人寿保险、老年人就诊优惠定点医院，为长岛县医疗保险、新农村合作医疗在蓬莱市公立医院中的唯一一所定点医院。是中华医学会核准的“全国百姓放心示范医院”，是“山东省百佳医院”。医院现有职工189人，其中硕士研究生11名，副高级以上专业技术人员27名、中级专业技术人员59名。　　医院拥有万元以上的大型设备80余台（件），包括德国西门子双排螺旋CT，CR，高频遥控X光机，C型臂，腹腔镜，日本产富士能4400电子胃镜、肠镜、彩色B超、Olympus等离子双极电切镜，彩色多普勒，全自动生化仪等。　　医院分为东、西两大院区, 床位300张。东院区位于中医院原址，集急诊、门诊、住院于一体,床位180张。设脑一科、脑二科、骨科、外科、妇产科、小儿科、急诊科、中医科、康复理疗科、口腔科、皮肤科、五官科和体检中心等。西院区位于环保局西原建行楼，2008年2月13日正式投入使用，床位118张。分设消化内科、心血管内科、糖尿病科和呼吸内科四个病区。每个病区内都设有中、高档病房。病房内配有液晶电视、空调、独立洗手间，充分体现了人性化的设计特点，满足了不同人群的就医需要。医院配备了一辆专用电瓶车，用于两院区之间接送患者，方便联系。两大院区东西呼应，分院不分家。城区设有5所社区卫生服务站，2008年又与军休所卫生所合作，成立了中医院军休所服务部，方便了市民就近就医。　　“在技术上精益求精，在服务上力求完美”是医院一贯秉承的服务理念。医院现已拥有脑科、骨科、糖尿病科等一批强势学科品牌。尤其是脑病科作为山东省重点中医专科、国家重点专科建设单位和山东省血栓病防治工程技术研究中心在烟台地区设立的唯一一家分支机构，不仅拥有先进的检测治疗设备，而且拥有一支技术全面、训练有素的学科团队，在脑梗死、脑出血等脑血管病的预防、治疗、康复方面有独到之处。骨科、糖尿病科为烟台市重点中医专科，糖尿病科被确定为国家中医药管理局全国糖尿病重点专科协作单位， 医院先后获得了“蓬莱市十佳优质服务单位”、“蓬莱市文明示范岗”、“烟台市职业道德建设十佳集体”、“烟台市五一劳动奖状”、“山东省中医工作先进集体”、“全国百姓放心示范医院”等荣誉称号。","1.肛肠科
2.心内科
3.糖尿病科
4.脑科
5.妇产科
6.消化内科
7.呼吸内科
8.外科
9.血液肿瘤科
10.儿科
11.中医科
12.内分泌科
13.急诊科
14.功能检查科
15.神经外科
16.麻醉科
17.重症医学科
18.神经内科
"
烟台市传染病医院,无,无,"0535-6221371(肝病专家门诊),0535-6625563(性病科)",烟台市环山路62号,,"1.肝病科
2.中医科
3.皮肤性病科
4.超声科
"
烟台市芝罘医院,无,无,0535-6240167(办公室),烟台市芝罘区青年路51号,,"1.内科
2.心脏内科
3.骨科
4.肛肠科
5.眼科
6.皮肤科
"
烟台市福山区人民医院,无,无,无,山东省烟台市福山区南山路111号,,"1.儿科
"
莱州市中医医院,三级甲等,无,0535-2279063,莱州市文化东路832号,,"1.骨伤科
2.神经内科
3.脾胃病肿瘤科
4.急诊科
"
淄博市中心医院,三级甲等,无,"0533-2360228(总院院办),0533-2360102(总院门诊),0533-3180270(北院)","山东省淄博市张店区共青团路54号(总院),淄博市张店区柳泉路55号(...",,"1.心血管科
2.内分泌科
3.呼吸内科
4.神经内科
5.风湿免疫科
6.泌尿内科
7.消化内科
8.血液内科
9.普通内科
10.感染性疾病科
11.老年病科
12.脊柱关节科
13.创伤骨科
14.泌尿外科
15.血管微创科
16.乳腺与甲状腺外科
17.肝胆外科
18.普外科
19.神经外科
20.显微骨科
21.心胸外科
22.骨科
23.胃肠外科
24.儿科
25.妇科
26.产科
27.眼科
28.耳鼻喉科
29.口腔科
30.皮肤科
31.烧伤整形科
32.中医科
33.疼痛科
34.肝病科
35.干部保健科
36.麻醉科
37.肿瘤科
38.超声科
39.介入科
40.病理科
"
淄博市第一医院,三级甲等,无,"0533-4252412(咨询),0533-4253312(总值班)",淄博市博山区峨眉山东路4号,淄博市第一医院坐落在博山区峨嵋山东路4号，始建于1948年秋，占地面积达18万平方米，建筑面积达14．9万平方米，固定资产总值1．6亿元。编制床位800张，开放床位950张。年总诊疗人次46万人次，入出院病人2．6万人次。在编职工1097人，卫生专业技术人员970人，其中，高级职称215人，中级职称449人，初级职称306入；市级专业学科带头人15人，市级专业技术拔尖人才6人；全市首批名医9人，市级名中医5人；省级专业学术委员20人，市级专业学术主任委员7人、副主任委员30人；博士硕士研究生36名，形成了一支医德高尚、医术精湛的医疗队伍。　　医院前身是华东财经办事处工矿部卫生科。历经60年风雨历程，尤其进入2 1世纪后，淄博市第一医院实现了跨越式发展，现已发展成为集医疗、教学、科研、预防、保健、急救和康复为一体的三级综合性医院。是潍坊医学院附属医院、国家执业医师实践技能考试基地、卫生部国际紧急救援中心网络医院。　　医院拥有西门子公司产64层CT、日立公司产核磁共振、螺旋CT、X一刀、两门子医用赢线加速器、GE及惠普彩超、日本血液透析机、血滤机、全自动生化分析仪、奥林巴斯电子胃肠镜系统、日本东芝1250毫安大型心血管造影机(DSA)、静脉曲张激光治疗仪、大型高压氧舱，多功能麻醉机、呼吸机、腹腔镜，还配有齐全的康复理疗设备和重症监护设备等万元以上仪器设备642台(件)，医疗没备总值1.2l亿元。　　医院学科门类齐全、技术力量雄厚，拥有临床医技科室43个，25个病区，1个研究所，9个诊治中心，l所分院，1个省级重点学科，4个市级首批名科。医院先后成立中国癌症研究基金会淄博分会、淄博市骨科研究所、先心病介入治疗协作小组等。赵庄分院是诊治结核病、气管炎、哮喘病为特色的专科分院。　　近年来，医院认真落实科学发展观，坚持“文化治院、人才立院、科技兴院、质量建院、形象昌院、创新强院’’的建院方针，努力打造“名医、名科、名院”品牌，实施“人无我有、人有我优、人优我新、人新我精”战略，致力于提升医院的医疗质量、科学管理和服务水平。医院开展了在国内和省内具有领先水平的疑难病症诊疗项目：微侵袭术式治疗股骨远端骨折、三维适形放疗治疗子宫颈癌、房颤的电生理及射频消融、先天性心脏病手术治疗、解酒肝胃康口服液治疗酒精性肝病的药物研究等技术，达到国内领先或先进水平。内镜下套扎术(EVL)与凝血夹心联合法治疗肝硬化食管静脉曲张、内镜下电凝治疗疣状胃炎等填补了省内空白。单鼻孔一蝶窦入路垂体瘤切除术、鼻内窥镜下脑脊液鼻漏修补术、米索前列醇在宫腔镜术前应用研究、ESWL及排石疗法联合治疗输尿管结石等填补了市内空白。在国内首创全胸移动条野钴60放射治疗恶性胸水。国家攻关课题《全国l00家医院肺栓塞临床观察与研究》、《八味感冒口服液的研究》和《亚甲兰在胃癌根治术中的应用及胃癌淋巴转移规律探讨》通过省级鉴定，均为国内领先水平。心内科介入治疗先心病封堵术，其中最小l例为9个月婴儿封堵成功，为全国最小患者，曾在中央电视台报道。　　医院始终坚持“科教兴院”方针，加快人才培养，加大科研投入。几年来，48项科研成果通过省、市鉴定，36项科研课题获省、市科技进步奖，14项获国家发明专利。先后与美国、俄罗斯、英国、挪威、瑞典、日本、新加坡、香港等国家和地区建立了良好合作关系，加强了国内外学术交流与合作。　　院党委坚持“两手抓、两手都要硬”的方针，不断促进医德医风、医院文化、精神文明建设．使医院诸项工作都取得了明显成效，医院连续20年被授予“淄博市精神文明单位”称号，淄博市首批三星级医院，先后被省卫生厅评为“山东省卫生先进集体”、“山东省文明医院”、“山东省职业道德先进集体”、“山东省医院行风建设先进单位”、“山东省医疗质量管理效益年活动先进集体”、“行业文明创建文明单位”、“全省医德医风示范医院”、“山东省惠民医疗先进单位”、“省十佳诚信医院”，被列为“第五届全国诚信企业上榜荣誉单位”，被卫生部评为“爱婴医院”，被山东省精神文明办公室评为“山东省精神文明单位”等荣誉称号。,"1.心内科
2.神经内科
3.消化内科
4.呼吸内科
5.血液风湿科
6.内分泌科
7.肾内科
8.感染病科
9.急诊科
10.普外科
11.骨科
12.神经外科
13.骨伤科
14.泌尿外科
15.整形科
16.胸外科
17.儿科
18.妇产科
19.小儿内科
20.皮肤科
21.中医科
22.肿瘤科
23.麻醉科
24.耳鼻喉科
25.眼科
26.针灸推拿科
27.中医男科
28.重症监护室
29.口腔科
30.超声科
31.药剂科
32.介入科
"
北大医疗鲁中医院,无,无,"0533-7581041(总机),400-0533-169(免费电话),0533-7537548(门诊部)",山东省淄博市临淄区太公路65号,,"1.血液风湿免疫科
2.感染内科
3.消化内科
4.心血管内科
5.老年病保健科
6.内分泌科
7.呼吸内科
8.神经内科
9.内科
10.急诊科
11.普外、肛肠外科
12.神经外科
13.胸心血管外科
14.泌尿科
15.脊柱手足及显微外科
16.骨与关节外科
17.整形美容科
18.儿科
19.妇产科
20.产科
21.肿瘤中心
22.耳鼻喉科
23.烧伤皮肤科
24.疼痛科
25.眼科
26.口腔科
27.中医科
28.职业病呼吸内科
29.理疗科
30.康复科
31.放射科
32.超声科
33.麻醉科
34.查体科
35.ICU
36.伤口造口失禁门诊
37.皮肤科
38.影像科
"
山东铝业公司医院,无,无,0533-2942452(办公室),山东省淄博市张店区西山五街二号,,"1.呼吸、消化内科
2.心血管内科
3.神经内科
4.感染科
5.内分泌科
6.泌尿内科
7.肿瘤、血液内科
8.急诊科
9.颅脑外科
10.骨外科
11.泌尿外科
12.普外、烧伤外科
13.胸外科
14.妇产科
15.儿科
16.疼痛理疗科
17.皮肤科
18.检验科
19.放疗科
20.中医科
21.手术麻醉科
22.超声科
23.体检中心
24.眼科
25.医学影像科
26.保健科
27.特检科
28.口腔外科
29.口腔正畸
30.病理科
31.放射介入诊疗中心
"
张店区人民医院,无,无,0533-2284310,淄博市张店区中心路63号,,"1.心血管内科
2.神经内科
3.内科
4.呼吸内科
5.内分泌科
6.感染性疾病
7.神经外科
8.骨外科
9.普外科
10.儿科
11.妇产科
12.影像诊断科
13.中医科
14.超声诊断科
15.康复科
"
齐都医院,无,无,"0533-7328012(门诊),0533-7328008(办公室),0533-7328075(医院总值班室),0533-7320215(医务科)",淄博市临淄区大顺路(齐园路)123号,,"1.神经内科
2.呼吸内科
3.消化内科
4.心血管内科
5.变态反应科
6.急诊急救
7.普外科
8.骨外科
9.脑外科
10.肛肠科
11.泌尿外科
12.乳腺诊治中心
13.胸外科
14.妇科
15.儿科
16.产科
17.中医科
18.皮肤科
19.核医学科
20.疼痛科
21.耳鼻喉眼科
22.肝病科
23.影像科
24.不孕不育诊疗中心
25.肿瘤内科
26.病理科
27.介入微创治疗中心
"
淄博市第五人民医院,三级甲等,无,0533-5264100(咨询),淄川区淄矿路102号,淄博市精神卫生中心（淄博市第五人民医院），坐落于著名世界短篇小说之王蒲松龄的故乡。医院始建于1966年，是山东省卫生厅批准注册的淄博市唯一一所心理卫生专业机构，是市级公立医院，担负着临床心理与精神卫生的医疗、教学、科研、预防、康复、心理危机处置、对外学术交流及全国的内观、森田疗法专业培训工作。占地100亩，建筑面积46000平方米，编制床位700张，在职职工410人，专业技术人员321人，其中主任医师（教授）10人，副主任（医、护、药、技）师36人，心理学博士学位1人，硕士学位3人，享受国务院政府特殊津贴1人，省、市学科带头人2人，淄博市有突出贡献的中青年专家2人，淄博市名医3人，兼任国家级、省级学术团体主委/副主委6人次。医院设有5个特色门诊和9个特色病区，九个病区分为7个精神科病房，2个临床心理科病房；精神科和临床心理科为淄博市首批重点学科，临床心理科为山东省医药卫生重点专业和淄博市“两好一满意”质量品牌。医院拥有一流的各种精尖检查治疗设备60余台套，其中全身螺旋CT、心理CT、日本东芝彩超、经颅多普勒、动态脑电、动态心电、经颅磁刺激仪、生物反馈仪、音乐治疗机、全科治疗床等在国内外处于领先水平。由我院创办的中国心理卫生网站已成为中国心理卫生协会森田疗法和内观疗法专业委员会指定合作网站。　　服务好、质量好、医德好、群众满意是医院的办院方针，科学研究、人才培养是医院可持续发展的有力保障。近几年来医院共有科研立项课题10项，鉴定成果6项，省部级科技进步奖3项，国家级医学核心期刊发表论文300余篇，其中SCI收录3篇，出版医学专著30余部，其中由人民卫生出版社及北京大学医学出版社出版的著作4部。医院先后主办了两次全国的心理卫生学术会议，并承担了两项全国继续医学教育项目。　　医院将继续深化和提升重点学科建设水平，大力发展医疗特色专科，把森田疗法和内观疗法作为医院特色疗法给予大力支持和辅助，使医院的医疗水平名副其实地立足于全省乃至全国同级同行医院前列。　　有机遇，市五院会抓住；有挑战，市五院会战胜。做大、做强淄博精神卫生事业，开创淄博市精神卫生事业新局面，皆是摆在我们面前的‘十二五’任务，我们将不辱使命，奋力前行。,"1.精神科
2.心理科
3.中西医结合精神科
"
淄博市第一医院分院,无,无,0533-4232173(院办公室),淄博市博山区颜北路255号,,"1.结核病科
2.泌尿外科
3.普通内科
4.检验科
"
山东能源淄矿集团中心医院,无,无,"0533-5851653(医院办公室),0533-5851658(24小时总值班电话)",山东省淄博市淄川区淄矿路133号（淄矿集团公司机关院内）,,"1.骨科
2.肿瘤科
"
菏泽市立医院,三级甲等,无,0530-5613311(院办公室),菏泽市牡丹区曹州路2888号,,"1.风湿免疫科
2.神经内科
3.内分泌科
4.心血管内科
5.泌尿内科
6.血液内科
7.呼吸内科
8.消化内科
9.高压氧科
10.血透室
11.急诊科
12.普通内科
13.神经外科
14.普外科
15.泌尿外科
16.乳腺甲状腺外科
17.胸心外科
18.整形美容中心
19.脊柱外科
20.骨关节科
21.创伤骨科
22.肝胆外科
23.胃肠外科
24.妇产科
25.小儿科
26.小儿外科
27.口腔科
28.肿瘤科
29.皮肤性病科
30.眼科
31.耳鼻喉科
32.烧伤整形科
33.传染科
34.中医科
35.医学影像科
36.核医学科
37.干部病房
38.ICU
39.药剂科
40.放射科
41.超声科
42.麻醉科
43.病理科
44.功能检查科
45.放疗科
46.疼痛科
"
单县中心医院,三级甲等,无,0530-4691777(院办公室),单县文化路1号,,"1.呼吸内科
2.风湿病科
3.内分泌科
4.消化内科
5.内科
6.血液内科
7.泌尿外科
8.普外科
9.神经外科
10.肝胆外科
11.骨科
12.胸心外科
13.妇产科
14.儿科
15.皮肤科
16.传染科
17.口腔科
18.病理科
19.中医科
20.眼科
21.肿瘤放疗科
22.耳鼻咽喉科
23.针推理疗科
24.麻醉科
25.医学影像科
26.美容整形科
27.肿瘤科
28.输血科
29.康复科
30.疼痛科
31.放射科
"
巨野县中医院,无,无,0530-8213160(办公室),巨野县城人民路176号,,"1.外科
2.骨外科
3.儿科
4.心脑血管病专科
5.妇产科
6.针灸科
7.肠胃病专科
8.消化科
9.耳鼻喉科
10.皮肤科
11.肿瘤科
12.中医科
13.眼科
14.不孕不育科
15.放射科
16.疼痛科
17.碎石中心
18.口腔科
19.精神科
20.泌尿外科
"
菏泽市第三人民医院,无,无,0530-5995559(门诊),山东省菏泽市八一路3099号,,"1.神经内科
2.内科
3.急救中心
4.神经外科
5.外科
6.妇产科
7.精神科
8.正骨科
9.眼科
10.疼痛科
11.特检科
12.药剂科
13.医学影像科
"
